UGB,Empreendimento,FASE,Etapa,% concluído,Nome da tarefa,Iniciar,Terminar
CA,AMO-F1,LEG.,APROV-IP-(NEO),0.0055000000000000005,APROVAÇÃO DO PROJETO DE IP (NEOENERGIA) - FUSE,2025-06-11 08:00:00,2025-10-03 16:59:59
CA,AMO-F1,LEG.,LIG-IP,0.0,LIGAÇÃO DA IP,2026-08-31 08:00:00,2026-09-08 16:59:59
CA,AMO-F1,PROD.,ENTREGA,0.0,VIABILIDADE DE ENTREGA,2026-10-08 16:59:59,2026-10-08 16:59:59
CA,VID,ENG.PROD,PL-ER-E-IP,0.0,PL - ELE - ER COND,,
CA,VID,ENG.PROD,PROJ-EXEC,0.0,PE - ELE - ER / IP N INC,,
CA,VID,ENG.PROD,PL-ER-E-IP,0.0,PL - ELE - IP COND,,
CA,VID,ORÇ.,ORÇ,0.0,ORÇ - ELE - ER / IP,,
CA,VID,ORÇ.,ORÇ,0.0,ORÇ - ELE - ER / IP,,
CA,VID,SUP.,SUP,0.0,SUPRIMENTOS,,
CA,VID,INFRA,EXECUÇÃO-TER,0.0,EXECUÇÃO,,
CA,VID,INFRA,PIQ,0.0,IMPLANTAR PIQUETE DO PDE,,
CA,VID,INFRA,EXECUÇÃO-ER,0.0,Execução ERE,,
CA,VID,INFRA,EXECUÇÃO-IP,0.0,Iluminação Pública,,
CA,VID,INFRA,PINT-BAR,0.0,PINTURA DOS BARRAMENTOS E IMPLANTAÇÃO DAS PLACAS DOS TRANSFORMADORES,,
CA,VID,LEG.,APROV-ER-(NEO),0.0,APROVAÇÃO DO PROJETO DE E.R. (NEOENERGIA),,
CA,VID,LEG.,SOLIC-CONEXÃO,0.0,SOLICITAÇÃO ABERTURA DE NOTAS POR E-MAIL,,
CA,VID,LEG.,CONEXÃO,0.0,CONEXÃO,,
CA,VID,LEG.,INCORPORAÇÃO,0.0,INCORPORAÇÃO,,
CA,VID,LEG.,COMISSIONAMENTO,0.0,COMISSIONAMENTO,,
CA,VID,LEG.,CARTA,0.0,CARTA DE ENTREGA,,
CA,VID,LEG.,APROV-IP-(NEO),0.0,APROVAÇÃO DO PROJETO DE IP (NEOENERGIA),,
CA,VID,LEG.,LIG-IP,0.0,LIGAÇÃO DA IP,,
CA,VID,PROD.,ENTREGA,0.0,VIABILIDADE DE ENTREGA,,
CA02,J.SER 1,ENG.PROD,PL-ER-E-IP,0.01,PL - ELE - ER/IP COND,2024-10-16 08:00:00,2024-12-19 16:59:59
CA02,J.SER 1,ENG.PROD,PROJ-EXEC,0.0,PE - ELE - ER / IP INC,2025-04-07 08:00:00,2025-05-02 16:59:59
CA02,J.SER 1,ENG.PROD,PL-ER-E-IP,0.01,PL - ELE - ER/IP COND,2024-10-16 08:00:00,2024-12-19 16:59:59
CA02,J.SER 1,ORÇ.,ORÇ,0.0,ORÇ - ER / IP,2025-05-05 08:00:00,2025-06-06 16:59:59
CA02,J.SER 1,ORÇ.,ORÇ,0.0,ORÇ - ER / IP,2025-05-05 08:00:00,2025-06-06 16:59:59
CA02,J.SER 1,SUP.,SUP,0.0,SUPRIMENTOS,2025-03-27 08:00:00,2025-10-16 16:59:59
CA02,J.SER 1,INFRA,EXECUÇÃO-TER,0.0,EXECUÇÃO,2025-10-29 08:00:00,2026-06-01 16:59:59
CA02,J.SER 1,INFRA,PIQ,0.0,IMPLANTAR PIQUETE DO PDE,2025-04-15 08:00:00,2025-05-08 16:59:59
CA02,J.SER 1,INFRA,EXECUÇÃO-ER,0.0,EXECUÇÃO,2025-11-04 08:00:00,2026-10-05 16:59:59
CA02,J.SER 1,INFRA,EXECUÇÃO-IP,0.0,EXECUÇÃO IP,2026-10-06 08:00:00,2026-10-26 16:59:59
CA02,J.SER 1,INFRA,PINT-BAR,0.0,PINTURA DOS BARRAMENTOS E IMPLANTAÇÃO DAS PLACAS DOS TRANSFORMADORES,2027-01-13 08:00:00,2027-01-19 16:59:59
CA02,J.SER 1,LEG.,APROV-ER-(NEO),0.01,APROVAÇÃO DO PROJETO DE E.R. (NEOENERGIA) - NOTA N° 9201341601,2024-12-19 16:59:59,2025-04-14 16:59:59
CA02,J.SER 1,LEG.,SOLIC-CONEXÃO,0.01,SOLICITAÇÃO ABERTURA DE NOTAS POR E-MAIL,2025-05-08 16:59:59,2025-05-08 16:59:59
CA02,J.SER 1,LEG.,CONEXÃO,0.0,CONEXÃO,2025-08-29 17:00:00,2025-12-29 16:59:59
CA02,J.SER 1,LEG.,INCORPORAÇÃO,0.0,INCORPORAÇÃO,2026-10-06 08:00:00,2027-01-12 16:59:59
CA02,J.SER 1,LEG.,COMISSIONAMENTO,0.0,COMISSIONAMENTO,2027-01-20 08:00:00,2027-03-11 16:59:59
CA02,J.SER 1,LEG.,CARTA,0.0,CARTA DE ENTREGA,2027-03-05 08:00:00,2027-04-12 16:59:59
CA02,J.SER 1,LEG.,APROV-IP-(NEO),0.01,APROVAÇÃO DO PROJETO DE IP (NEOENERGIA) - NOTA N° 9201342118,2024-12-19 16:59:59,2025-04-14 16:59:59
CA02,J.SER 1,LEG.,LIG-IP,0.0,LIGAÇÃO DA IP,2027-03-12 08:00:00,2027-03-22 16:59:59
CA02,J.SER 1,PROD.,ENTREGA,0.0,VIABILIDADE DE ENTREGA,2027-04-12 16:59:59,2027-04-12 16:59:59
GA,HOR,ENG.PROD,PL-ER-E-IP,0.01,PL - ELE - ER COND,2024-09-20 08:00:00,2025-03-20 16:59:59
GA,HOR,ENG.PROD,PROJ-EXEC,0.0,PE - ELE - ER / IP N INC,2025-09-30 08:00:00,2025-10-13 16:59:59
GA,HOR,ENG.PROD,PL-ER-E-IP,0.01,PL - ELE - IP COND,2024-09-20 08:00:00,2025-03-20 16:59:59
GA,HOR,ORÇ.,ORÇ,0.0,ORÇ - ELE - ER / IP,2025-10-13 08:00:00,2025-11-03 16:59:59
GA,HOR,ORÇ.,ORÇ,0.0,ORÇ - ELE - ER / IP,2025-10-13 08:00:00,2025-11-03 16:59:59
GA,HOR,SUP.,SUP,0.0,SUPRIMENTOS,2025-04-22 08:00:00,2026-03-15 16:59:59
GA,HOR,INFRA,EXECUÇÃO-TER,0.005600000000000001,TERRAPLANAGEM,2025-01-29 08:00:00,2025-04-29 16:59:59
GA,HOR,INFRA,PIQ,0.0,IMPLANTAR PIQUETE DO PDE,2025-09-30 08:00:00,2025-10-06 16:59:59
GA,HOR,INFRA,EXECUÇÃO-ER,0.0,Execução ERE,2025-09-10 08:00:00,2025-12-02 16:59:59
GA,HOR,INFRA,EXECUÇÃO-IP,0.0,EXECUÇÃO,2025-09-10 08:00:00,2025-12-02 16:59:59
GA,HOR,INFRA,PINT-BAR,0.0,PINTURA DOS BARRAMENTOS E IMPLANTAÇÃO DAS PLACAS DOS TRANSFORMADORES,2026-03-16 08:00:00,2026-03-20 16:59:59
GA,HOR,LEG.,APROV-ER-(NEO),0.0076,APROVAÇÃO DO PROJETO DE E.R. (NEOENERGIA) ÊXITO - Nº 9201414996,2025-03-21 08:00:00,2025-09-29 16:59:59
GA,HOR,LEG.,SOLIC-CONEXÃO,0.0,SOLICITAÇÃO ABERTURA DE NOTAS POR E-MAIL,2025-10-07 08:00:00,2025-10-07 16:59:59
GA,HOR,LEG.,CONEXÃO,0.0,CONEXÃO,2025-10-21 17:00:00,2026-02-23 16:59:59
GA,HOR,LEG.,INCORPORAÇÃO,0.0,INCORPORAÇÃO,2025-12-03 08:00:00,2026-03-13 16:59:59
GA,HOR,LEG.,COMISSIONAMENTO,0.0,COMISSIONAMENTO,2026-03-23 08:00:00,2026-05-08 16:59:59
GA,HOR,LEG.,CARTA,0.0,CARTA DE ENTREGA,2026-05-11 08:00:00,2026-06-07 16:59:59
GA,HOR,LEG.,APROV-IP-(NEO),0.006500000000000001,APROVAÇÃO DO PROJETO DE IP (NEOENERGIA) ÊXITO - Nº 9201418043,2025-03-21 08:00:00,2025-09-29 16:59:59
GA,HOR,LEG.,LIG-IP,0.0,LIGAÇÃO DA IP,2026-05-11 08:00:00,2026-05-19 16:59:59
GA,HOR,PROD.,ENTREGA,0.0,VIABILIDADE DE ENTREGA,2026-06-07 16:59:59,2026-06-07 16:59:59
IG,MONJ,ENG.PROD,PL-ER-E-IP,0.01,PROJETO DE E.R.,2023-09-27 08:00:00,2026-02-13 16:59:59
IG,MONJ,ORÇ.,ORÇ,0.01,ORÇAMENTO,2026-05-13 08:00:00,2026-06-30 16:59:59
IG,MONJ,ENG.PROD,PL-ER-E-IP,0.01,PROJETO DE IP,2023-10-09 08:00:00,2025-09-17 16:59:59
IG,MONJ,ORÇ.,ORÇ,0.01,ORÇAMENTO,2026-05-13 08:00:00,2026-06-30 16:59:59
IG,MONJ,SUP.,SUP,0.01,SUPRIMENTOS,2024-04-23 08:00:00,2024-10-03 16:59:59
IG,MONJ,INFRA,EXECUÇÃO-TER,0.01,EXECUÇÃO,2024-02-01 08:00:00,2025-03-13 16:59:59
IG,MONJ,INFRA,PIQ,0.01,Ter marcação de piquetes da localização dos postes implantados,2024-06-21 08:00:00,2024-06-21 16:59:59
IG,MONJ,INFRA,EXECUÇÃO-ER,0.01,Ter execução de ER e IP finalizada,2024-10-09 08:00:00,2024-12-26 16:59:59
IG,MONJ,INFRA,PINT-BAR,0.01,PINTURA DOS BARRAMENTOS,2025-04-01 08:00:00,2025-04-14 16:59:59
IG,MONJ,INFRA,EXECUÇÃO-IP,0.01,EXECUÇÃO,2024-10-09 08:00:00,2024-12-26 16:59:59
IG,MONJ,LEG.,APROV-ER-(NEO),0.01,APROVAÇÃO DO PROJETO DE E.R. (NEOENERGIA) NOTA Nº 9201226972,2026-02-13 16:59:59,2026-05-05 07:59:59
IG,MONJ,LEG.,SOLIC-CONEXÃO,0.01,SOLICITAÇÃO ABERTURA DE NOTAS POR E-MAIL,2024-07-31 08:00:00,2024-08-08 16:59:59
IG,MONJ,LEG.,CONEXÃO,0.0014000000000000002,CONEXÃO - NOTA Nº 9101404322,2024-08-14 17:00:00,2025-09-01 07:59:59
IG,MONJ,LEG.,INCORPORAÇÃO,0.01,INCORPORAÇÃO - NOTA Nº 9101413148,2024-12-27 08:00:00,2025-03-31 16:59:59
IG,MONJ,LEG.,COMISSIONAMENTO,0.009899999999999999,COMISSIONAMENTO - NOTA Nº 9101408352,2025-04-15 08:00:00,2025-09-01 07:59:59
IG,MONJ,LEG.,CARTA,0.009899999999999999,CARTAS DE ENTREGA,2025-07-24 08:00:00,2025-09-01 07:59:59
IG,MONJ,LEG.,APROV-IP-(NEO),0.01,APROVAÇÃO DO PROJETO DE IP (NEOENERGIA) NOTA Nº 9201229971,2025-09-17 16:59:59,2025-12-05 16:59:59
IG,MONJ,LEG.,LIG-IP,0.0,LIGAÇÃO DA IP (NEOENERGIA),2025-08-27 08:00:00,2025-09-12 16:59:59
IG,MONJ,PROD.,ENTREGA,0.0,VIABILIDADE DE ENTREGA,2025-09-15 08:00:00,2025-09-22 16:59:59
JB,JA,ENG.PROD,PL-ER-E-IP,0.01,PL - ELE - ER COND,2024-09-20 08:00:00,2025-04-04 16:59:59
JB,JA,ENG.PROD,PROJ-EXEC,0.01,PE -  ER / IP,2025-06-20 08:00:00,2025-07-08 16:59:59
JB,JA,ENG.PROD,PL-ER-E-IP,0.01,PE -  ER / IP,2025-06-20 08:00:00,2025-07-08 16:59:59
JB,JA,ORÇ.,ORÇ,0.0,ORÇ -  ER / IP,2025-07-09 08:00:00,2025-08-12 16:59:59
JB,JA,ORÇ.,ORÇ,0.0,ORÇ -  ER / IP,2025-07-09 08:00:00,2025-08-12 16:59:59
JB,JA,SUP.,SUP,0.0,SUPRIMENTOS,2025-07-16 08:00:00,2025-12-22 16:59:59
JB,JA,INFRA,EXECUÇÃO-TER,0.0,EXECUÇÃO,2025-11-26 08:00:00,2026-03-19 16:59:59
JB,JA,INFRA,PIQ,0.0,IMPLANTAR PIQUETE DO PDE,2025-11-19 08:00:00,2025-11-25 16:59:59
JB,JA,INFRA,EXECUÇÃO-ER,0.0,EXECUÇÃO,2026-03-20 08:00:00,2026-07-23 16:59:59
JB,JA,INFRA,EXECUÇÃO-IP,0.0,EXECUÇÃO IP,2026-07-24 08:00:00,2026-08-13 16:59:59
JB,JA,INFRA,PINT-BAR,0.0,PINTURA DOS BARRAMENTOS E IMPLANTAÇÃO DAS PLACAS DOS TRANSFORMADORES,2026-11-02 08:00:00,2026-11-06 16:59:59
JB,JA,LEG.,APROV-ER-(NEO),0.01,APROVAÇÃO DO PROJETO DE E.R. (NEOENERGIA) CASMATEL - Nº 9201419986,2025-04-07 08:00:00,2025-06-19 16:59:59
JB,JA,LEG.,SOLIC-CONEXÃO,0.0,SOLICITAÇÃO ABERTURA DE NOTAS POR E-MAIL,2025-11-26 08:00:00,2025-11-26 16:59:59
JB,JA,LEG.,CONEXÃO,0.0,CONEXÃO,2025-11-27 17:00:00,2026-05-12 16:59:59
JB,JA,LEG.,INCORPORAÇÃO,0.0,INCORPORAÇÃO,2026-07-24 08:00:00,2026-10-30 16:59:59
JB,JA,LEG.,COMISSIONAMENTO,0.0,COMISSIONAMENTO,2026-11-09 08:00:00,2026-12-25 16:59:59
JB,JA,LEG.,CARTA,0.0,CARTA DE ENTREGA,2026-12-28 08:00:00,2027-02-04 16:59:59
JB,JA,LEG.,APROV-IP-(NEO),0.01,APROVAÇÃO DO PROJETO DE IP (NEOENERGIA) - CASMATEL -  9201416013,2025-04-02 08:00:00,2025-06-19 16:59:59
JB,JA,LEG.,LIG-IP,0.0,LIGAÇÃO DA IP,2026-12-28 08:00:00,2027-01-05 16:59:59
JB,JA,PROD.,ENTREGA,0.0,VIABILIDADE DE ENTREGA,2027-02-04 16:59:59,2027-02-04 16:59:59
SL,JD-EUCA,ENG.PROD,PL-ER-E-IP,0.01,PROJETO ER INTERNO,2024-09-04 08:00:00,2025-04-04 16:59:59
SL,JD-EUCA,ENG.PROD,PROJ-EXEC,0.0,PE - ER / IP,2025-09-09 08:00:00,2025-09-29 16:59:59
SL,JD-EUCA,ENG.PROD,PL-ER-E-IP,0.01,PROJETO IP INTERNO,2024-09-04 08:00:00,2025-04-04 16:59:59
SL,JD-EUCA,ORÇ.,ORÇ,0.0,ORÇ - ER / IP,2025-09-23 08:00:00,2025-10-20 16:59:59
SL,JD-EUCA,ORÇ.,ORÇ,0.0,ORÇ - ER / IP,2025-09-23 08:00:00,2025-10-20 16:59:59
SL,JD-EUCA,SUP.,SUP,0.0,SUPRIMENTOS,2025-10-28 08:00:00,2026-03-01 16:59:59
SL,JD-EUCA,INFRA,EXECUÇÃO-TER,0.0,EXECUÇÃO,2025-08-27 08:00:00,2025-12-16 16:59:59
SL,JD-EUCA,INFRA,PIQ,0.0,IMPLANTAR PIQUETE DO PDE,2025-09-16 08:00:00,2025-09-22 16:59:59
SL,JD-EUCA,INFRA,EXECUÇÃO-ER,0.0,EXECUÇÃO ER,2026-03-02 08:00:00,2026-07-03 16:59:59
SL,JD-EUCA,INFRA,EXECUÇÃO-IP,0.0,EXECUÇÃO IP,2026-07-06 08:00:00,2026-07-24 16:59:59
SL,JD-EUCA,INFRA,PINT-BAR,0.0,PINTURA DOS BARRAMENTOS E IMPLANTAÇÃO DAS PLACAS DOS TRANSFORMADORES,2026-10-13 08:00:00,2026-10-19 16:59:59
SL,JD-EUCA,LEG.,APROV-ER-(NEO),0.0062,APROVAÇÃO DO PROJETO DE E.R. (NEOENERGIA) - ÊXITO  NOTA Nº 9201414973,2025-04-04 16:59:59,2025-09-15 16:59:59
SL,JD-EUCA,LEG.,SOLIC-CONEXÃO,0.0,SOLICITAÇÃO ABERTURA DE NOTAS POR E-MAIL,2025-09-23 08:00:00,2025-09-23 16:59:59
SL,JD-EUCA,LEG.,CONEXÃO,0.0,CONEXÃO,2025-09-24 17:00:00,2026-04-21 16:59:59
SL,JD-EUCA,LEG.,INCORPORAÇÃO,0.0,INCORPORAÇÃO,2026-07-06 08:00:00,2026-10-12 16:59:59
SL,JD-EUCA,LEG.,COMISSIONAMENTO,0.0,COMISSIONAMENTO,2026-10-20 08:00:00,2026-12-09 16:59:59
SL,JD-EUCA,LEG.,CARTA,0.0,CARTA DE ENTREGA,2026-12-10 08:00:00,2027-01-18 16:59:59
SL,JD-EUCA,LEG.,APROV-IP-(NEO),0.0064,APROVAÇÃO DO PROJETO DE IP (NEOENERGIA) - ÊXITO  - NOTA Nº 9201406539,2025-04-29 08:00:00,2025-09-25 16:59:59
SL,JD-EUCA,LEG.,LIG-IP,0.0,LIGAÇÃO DA IP,2026-12-10 08:00:00,2026-12-18 16:59:59
SL,JD-EUCA,PROD.,ENTREGA,0.0,VIABILIDADE DE ENTREGA,2027-01-18 16:59:59,2027-01-18 16:59:59
